Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Козаченко,Соломон,Іванович,Чоловіча,1949-03-16,Золотар,селище Кальміуське,"проспект Ольвійська, буд. 8 кв. 0, Світлодарськ, 91168",+380 76 020-21-49,fartushniakboryslav@example.com
Вдовиченко,Гліб,Павлович,Чоловіча,1974-09-16,Історик,хутір Дунаївці,"шосе Злакова, буд. 6 кв. 10, Білопілля, 23571",+380 27 236-04-72,hryhorii79@example.net
Москаль,Роман,Михайлович,Чоловіча,1986-02-02,Геолог,місто Отаманівка,"набережна Бахчисарайська, буд. 903, Чернігів, 70215",195 05 08,omelian28@example.org
Стельмах,Дмитро,Володимирович,Чоловіча,2008-05-10,Сценарист,хутір Петрово-Красносілля,"парк Естонський, буд. 5 кв. 57, Синельникове, 01277",+380 79 681 90 07,mykhailyna59@example.net
Симоненко,Йосип,Юрійович,Чоловіча,1952-06-21,Кінорежисер,хутір Боково-Хрустальне,"шосе Кутова, буд. 006 кв. 88, Олевськ, 07215",039-90-77,opanasenkoanton@example.org
Фаренюк,Ростислав,Іванович,Чоловіча,1946-08-13,Ґрунтознавець,село Городок,"сквер Четверта, буд. 892, Васильків, 66307",+380 57 742 51 58,ivanychukliliia@example.com
Чередник,Антон,Юрійович,Чоловіча,1990-03-18,Електротехнік,село Каховка,"шосе Академіка Богатського, буд. 0 кв. 538, Дубляни, 46478",+380 (25) 180-43-42,varvara87@example.org
Скорик,Леонід,Михайлович,Чоловіча,1994-01-11,Футболіст,хутір Батурин,"шосе Маріупольська, буд. 8 кв. 33, Боярка, 64561",553-39-16,hohol-ianovskavalerii@example.net
Щербань,Геннадій,Петрович,Чоловіча,2002-09-11,Кінокритик,село Сніжне,"узвіз Лазурний 4-й, буд. 57, Кам'янське, 85208",824 85 72,sofiia87@example.com
Матяш,Леон,Анатолійович,Чоловіча,1949-12-08,Ветеринар,місто Буськ,"узвіз Хаджибейський, буд. 84, Хутір-Михайлівський, 47398",047-33-00,tshchyrytsia@example.net
Дрозденко,Григорій,Павлович,Чоловіча,1994-04-23,Патологоанатом,хутір Городенка,"парк Новоукраїнський, буд. 07 кв. 4, Прилуки, 68404",+380 11 010-89-95,psheremeta@example.org
Асаула,Зиновій,Сергійович,Чоловіча,2007-03-08,Кінорежисер,село Вишгород,"парк Бориса Літвака, буд. 692 кв. 97, Кадіївка, 93669",688 88 23,masliakpylyp@example.com
Терещенко,Климент,Павлович,Чоловіча,1977-04-09,Професор,село Іршава,"сквер Трамвайний, буд. 305, Суми, 73560",027 328-29-10,shmorhunirena@example.org
Рева,Мирослав,Іванович,Чоловіча,1952-03-27,Ботанік,село Бережани,"узвіз Житомирський 3-й, буд. 563, Харків, 51045",303-02-65,nataliiaartymyshyn@example.org
Рябовіл,Леонід,Петрович,Чоловіча,1963-08-14,Медик,місто Татарбунари,"шосе Економічний, буд. 530 кв. 301, Дубно, 76099",+380 88 780-09-30,vasylevychfedir@example.com
Гузь,Аркадій,Михайлович,Чоловіча,1971-06-18,Громадський діяч,село Валки,"набережна Павла Кравцова, буд. 34 кв. 6, Євпаторія, 69727",203 81 03,viacheslavatamaniuk@example.net
Зінчук,Юхим,Павлович,Чоловіча,1990-12-30,Дипломат,село Бар,"вулиця Крушельницької, буд. 36, Чернівці, 71257",231-31-50,nilchenko@example.com
Червоненко,Владислав,Сергійович,Чоловіча,1998-10-26,Педагог,село Сокиряни,"проспект Лиманчик 2-й Лінія 2-га, буд. 810, Долина, 83459",096 045 29 52,mykhaliukanastasiia@example.com
Жаліло,Аркадій,Іванович,Чоловіча,1984-11-18,Історик,хутір Володимир-Волинський,"узвіз Соляний 2-й, буд. 163 кв. 428, Полтава, 40722",+380 48 603-41-88,kriaboshapka@example.org
Байдак,Мирон,Володимирович,Чоловіча,1966-08-06,Гірник,селище Бахмут,"провулок Санаторний, буд. 09 кв. 4, Луцьк, 52876",013 302 80 13,mzhadan@example.org
Базилевич,Спас,Андрійович,Чоловіча,1950-01-14,Математик,селище Трускавець,"шосе Лінія 27-ма, буд. 594 кв. 86, Шостка, 80937",257-54-19,chuikobohuslava@example.com
Литвин,Валерій,Юрійович,Чоловіча,1993-09-11,Інженер,село Коломия,"узвіз 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 2, Бахмач, 91199",036 075-14-61,kamillasheremet@example.net
Дубина,Святослав,Анатолійович,Чоловіча,1990-11-23,Пекар,місто Кипуче,"вулиця Бєлякова, буд. 123, Хмельницький, 67866",+380 06 860-02-29,oleksaavramenko@example.org
Рябовіл,Віталій,Іванович,Чоловіча,2007-11-29,Зоолог,хутір Пирятин,"проспект Журавлина, буд. 96, Буськ, 95467",202 66 81,kamilla49@example.net
Чарниш,Йосип,Юрійович,Чоловіча,1982-10-04,Мовознавець,місто Хуст,"парк Миколи Плигуна, буд. 5, Джанкой, 99203",096 792 55 60,shelestarkadii@example.com
Шило,Федір,Анатолійович,Чоловіча,1976-03-21,Мірошник,хутір Зоринськ,"проспект Фруктова, буд. 920 кв. 32, Берестечко, 22699",+380 92 068-38-45,stusorkhyp@example.org
Франко,Михайло,Анатолійович,Чоловіча,1976-06-20,Секретар,село Вознесенівка,"набережна Ботанічний, буд. 721, Балта, 04140",541 06 57,irynatovstolis@example.net
Гаврилів,Теодор,Павлович,Чоловіча,1983-05-13,Водій,село Синельникове,"провулок Лінія 47-ма, буд. 3, Марганець, 87363",055 890 63 61,nestorkhorishko@example.org
Приймак,Ігор,Юрійович,Чоловіча,1989-02-26,Клавішник,селище Снятин,"узвіз Фруктова, буд. 2, Дубляни, 25225",+380 (70) 364-77-63,otsiutsiura@example.org
Гавришкевич,Зорян,Олександрович,Чоловіча,1971-11-20,Ді-джей,селище Приморськ,"сквер Крайня, буд. 600 кв. 323, Балта, 56725",+380 23 021 18 60,orysia74@example.org
Цюцюра,Герман,Володимирович,Чоловіча,1941-03-24,Психолог,селище Маріуполь,"проспект Василя Кричевського, буд. 81, Пологи, 39424",+380 49 741 38 66,haivoronskyivarfolomii@example.com
Байдак,Дан,Володимирович,Чоловіча,1957-11-02,Електромонтер,селище Токмак,"провулок 411-ї батареї, буд. 22 кв. 42, Новий Калинів, 43079",076 826-74-17,kmakohon@example.org
Сагаль,Теодор,Павлович,Чоловіча,1968-11-15,Літературознавець,місто Сіверськ,"провулок Фабрична, буд. 648 кв. 9, Соснівка, 68569",014-52-40,iarema57@example.net
Щириця,Юстим,Володимирович,Чоловіча,1963-07-26,Ботанік,хутір Волноваха,"сквер Кордонний, буд. 6 кв. 91, Лубни, 29828",043 502 02 01,arkhypenkovarvara@example.net
Скиба,Ярема,Павлович,Чоловіча,1970-12-14,Штукатур,хутір Золоте,"шосе Геранієва, буд. 1, Благовіщенське, 34698",+380 84 731-00-39,tperepelytsia@example.com
Вакарчук,Богодар,Володимирович,Чоловіча,1976-07-01,Каскадер,хутір Чистякове,"проспект Ярослава Баїса, буд. 40 кв. 1, Рені, 83792",+380 15 125 21 04,ustym97@example.com
Петрик,Теодор,Юрійович,Чоловіча,1946-01-28,Ювелір,село Кілія,"парк Проїзний 2-й, буд. 1 кв. 659, Оріхів, 63419",+380 37 457-14-83,volodymyr96@example.net
Данько,Костянтин,Павлович,Чоловіча,1972-07-10,Геолог,село Тальне,"площа Львівська, буд. 4, Селидове, 05643",009 884-84-84,zlatoslava91@example.org
Рубан,Павло,Михайлович,Чоловіча,1959-10-19,Стоматолог,село Житомир,"шосе Молоді, буд. 55 кв. 45, Сокаль, 30194",+380 04 990-43-52,sheremetiakiv@example.com
Забара,Геннадій,Сергійович,Чоловіча,1983-07-13,Астронавт,місто Хмельницький,"набережна 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 62, Коростишів, 42898",076 718 02 37,baranbohodar@example.net
